year,Round,Region,Winner_seed,Winner,Winner_Score,Loser_Seed,Loser,Loser_Score
2017,Opening Round,East,16,"Mt. St. Mary's, Mar",67,16,New Orleans,66
2017,Opening Round,South,11,Kansas State,95,11,Wake Forest,88
2017,Opening Round,East,11,Southern California,75,11,Providence,71
2017,Opening Round,Midwest,16,California-Davis,67,16,North Carolina Central,63
2017,Round of 64,East,1,Villanova,76,16,"Mt. St. Mary's, Maryland",56
2017,Round of 64,East,4,Florida,80,13,East Tennessee State,65
2017,Round of 64,East,5,Virginia,76,12,North Carolina-Wilmington,71
2017,Round of 64,East,8,Wisconsin,84,9,Virginia Tech,74
2017,Round of 64,Midwest,4,Purdue,80,13,Vermont,70
2017,Round of 64,Midwest,5,Iowa State,84,12,Nevada,73
2017,Round of 64,South,4,Butler,76,13,Winthrop,64
2017,Round of 64,South,12,Middle Tennessee St,81,5,Minnesota,72
2017,Round of 64,West,1,Gonzaga,66,16,South Dakota State,46
2017,Round of 64,West,2,Arizona,100,15,North Dakota,82
2017,Round of 64,West,3,Florida State,86,14,Florida Gulf Coast,80
2017,Round of 64,West,4,West Virginia,86,13,Bucknell,80
2017,Round of 64,West,5,Notre Dame,60,12,Princeton,58
2017,Round of 64,West,7,"St. Mary's, Califor",85,10,Virginia Commonwealth,77
2017,Round of 64,West,8,Northwestern,68,9,Vanderbilt,66
2017,Round of 64,West,11,"Xavier, Ohio",76,6,Maryland,65
2017,Round of 64,East,2,Duke,87,15,Troy,65
2017,Round of 64,East,3,Baylor,91,14,New Mexico State,73
2017,Round of 64,East,7,South Carolina,93,10,Marquette,73
2017,Round of 64,East,11,Southern California,66,6,Southern Methodist,65
2017,Round of 64,Midwest,1,Kansas,100,16,California-Davis,62
2017,Round of 64,Midwest,2,Louisville,78,15,Jacksonville State,63
2017,Round of 64,Midwest,3,Oregon,93,14,Iona,77
2017,Round of 64,Midwest,7,Michigan,92,10,Oklahoma State,91
2017,Round of 64,Midwest,9,Michigan State,78,8,"Miami, Florida",58
2017,Round of 64,Midwest,11,Rhode Island,84,6,Creighton,72
2017,Round of 64,South,1,North Carolina,103,16,Texas Southern,64
2017,Round of 64,South,2,Kentucky,79,15,Northern Kentucky,70
2017,Round of 64,South,3,UCLA,97,14,Kent State,80
2017,Round of 64,South,6,Cincinnati,75,11,Kansas State,61
2017,Round of 64,South,8,Arkansas,77,9,Seton Hall,"71"""
2017,Round of 64,South,10,Wichita State,64,7,Dayton,"58"""
2017,Round of 32,East,4,Florida,65,5,Virginia,"39"""
2017,Round of 32,East,8,Wisconsin,65,1,Villanova,"62"""
2017,Round of 32,Midwest,4,Purdue,80,5,Iowa State,"76"""
2017,Round of 32,South,4,Butler,74,12,Middle Tennessee State,"65"""
2017,Round of 32,West,1,Gonzaga,79,8,Northwestern,"73"""
2017,Round of 32,West,2,Arizona,69,7,"St. Mary's, California","60"""
2017,Round of 32,West,4,West Virginia,83,5,Notre Dame,"71"""
2017,Round of 32,West,11,"Xavier, Ohio",91,3,Florida State,"66"""
2017,Round of 32,East,3,Baylor,82,11,Southern California,"78"""
2017,Round of 32,East,7,South Carolina,88,2,Duke,"81"""
2017,Round of 32,Midwest,1,Kansas,90,9,Michigan State,"70"""
2017,Round of 32,Midwest,3,Oregon,75,11,Rhode Island,"72"""
2017,Round of 32,Midwest,7,Michigan,73,2,Louisville,"69"""
2017,Round of 32,South,1,North Carolina,72,8,Arkansas,"65"""
2017,Round of 32,South,2,Kentucky,65,10,Wichita State,"62"""
2017,Round of 32,South,3,UCLA,79,6,Cincinnati,"67"""
2017,Sweet Sixteen,Midwest,1,Kansas,98,4,Purdue,"66"""
2017,Sweet Sixteen,Midwest,3,Oregon,69,7,Michigan,"68"""
2017,Sweet Sixteen,West,1,Gonzaga,61,4,West Virginia,"58"""
2017,Sweet Sixteen,West,11,"Xavier, Ohio",73,2,Arizona,"71"""
2017,Sweet Sixteen,East,4,Florida,84,8,Wisconsin,"83"""
2017,Sweet Sixteen,East,7,South Carolina,70,3,Baylor,"50"""
2017,Sweet Sixteen,South,1,North Carolina,92,4,Butler,"80"""
2017,Sweet Sixteen,South,2,Kentucky,86,3,UCLA,"75"""
2017,Elite Eight,Midwest,3,Oregon,74,1,Kansas,"60"""
2017,Elite Eight,West,1,Gonzaga,83,11,"Xavier, Ohio","59"""
2017,Elite Eight,East,7,South Carolina,77,4,Florida,"70"""
2017,Elite Eight,South,1,North Carolina,75,2,Kentucky,"73"""
2017,National Semifinals,,1,Gonzaga,77,7,South Carolina,"73"""
2017,National Semifinals,,1,North Carolina,77,3,Oregon,"76"""
2017,National Championship,,1,North Carolina,71,1,Gonzaga,"65"""
