year,Round,Region,winner_seed,Winner,winner_score,loser_seed,Loser,loser_score
2018,Opening Round,East,11,St. Bonaventure,65,11,UCLA,"58"""
2018,Opening Round,East,16,Radford,71,16,Long Island-Brooklyn,"61"""
2018,Opening Round,Midwest,11,Syracuse,60,11,Arizona State,"56"""
2018,Opening Round,West,16,Texas Southern,64,16,North Carolina Central,"46"""
2018,Round of 64,East,1,Villanova,87,16,Radford,"61"""
2018,Round of 64,East,3,Texas Tech,70,14,Stephen F. Austin,"60"""
2018,Round of 64,East,6,Florida,77,11,St. Bonaventure,"62"""
2018,Round of 64,East,9,Alabama,86,8,Virginia Tech,"83"""
2018,Round of 64,Midwest,1,Kansas,76,16,Pennsylvania,"60"""
2018,Round of 64,Midwest,2,Duke,89,15,Iona,"67"""
2018,Round of 64,Midwest,7,Rhode Island,83,10,Oklahoma,"78    1 OT"""
2018,Round of 64,Midwest,8,Seton Hall,94,9,North Carolina State,"83"""
2018,Round of 64,South,3,Tennessee,73,14,Wright State,"47"""
2018,Round of 64,South,5,Kentucky,78,12,Davidson,"73"""
2018,Round of 64,South,11,"Loyola, Illinois",64,6,"Miami, Florida","62"""
2018,Round of 64,South,13,Buffalo,89,4,Arizona,"68"""
2018,Round of 64,West,3,Michigan,61,14,Montana,"47"""
2018,Round of 64,West,4,Gonzaga,68,13,North Carolina-Greensboro,"64"""
2018,Round of 64,West,5,Ohio State,81,12,South Dakota State,"73"""
2018,Round of 64,West,6,Houston,67,11,San Diego State,"65"""
2018,Round of 64,East,2,Purdue,74,15,California State-Fullerton,"48"""
2018,Round of 64,East,5,West Virginia,85,12,Murray State,"68"""
2018,Round of 64,East,10,Butler,79,7,Arkansas,"62"""
2018,Round of 64,East,13,Marshall,81,4,Wichita State,"75"""
2018,Round of 64,Midwest,3,Michigan State,82,14,Bucknell,"78"""
2018,Round of 64,Midwest,4,Auburn,62,13,"Charleston, South Carolina","58"""
2018,Round of 64,Midwest,5,Clemson,79,12,New Mexico State,"68"""
2018,Round of 64,Midwest,11,Syracuse,57,6,Texas Christian,"52"""
2018,Round of 64,South,2,Cincinnati,68,15,Georgia State,"53"""
2018,Round of 64,South,7,Nevada,87,10,Texas,"83    1 OT"""
2018,Round of 64,South,9,Kansas State,69,8,Creighton,"59"""
2018,Round of 64,South,16,UMBC,74,1,Virginia,"54"""
2018,Round of 64,West,1,"Xavier, Ohio",102,16,Texas Southern,"83"""
2018,Round of 64,West,2,North Carolina,84,15,Lipscomb,"66"""
2018,Round of 64,West,7,Texas A&M,73,10,Providence,"69"""
2018,Round of 64,West,9,Florida State,67,8,Missouri,"54"""
2018,Round of 32,East,1,Villanova,81,9,Alabama,"58"""
2018,Round of 32,East,3,Texas Tech,69,6,Florida,"66"""
2018,Round of 32,Midwest,1,Kansas,83,8,Seton Hall,"79"""
2018,Round of 32,Midwest,2,Duke,87,7,Rhode Island,"62"""
2018,Round of 32,South,5,Kentucky,95,13,Buffalo,"75"""
2018,Round of 32,South,11,"Loyola, Illinois",63,3,Tennessee,"62"""
2018,Round of 32,West,3,Michigan,64,6,Houston,"63"""
2018,Round of 32,West,4,Gonzaga,90,5,Ohio State,"84"""
2018,Round of 32,East,2,Purdue,76,10,Butler,"73"""
2018,Round of 32,East,5,West Virginia,94,13,Marshall,"71"""
2018,Round of 32,Midwest,5,Clemson,84,4,Auburn,"53"""
2018,Round of 32,Midwest,11,Syracuse,55,3,Michigan State,"53"""
2018,Round of 32,South,7,Nevada,75,2,Cincinnati,"73"""
2018,Round of 32,South,9,Kansas State,50,16,UMBC,"43"""
2018,Round of 32,West,7,Texas A&M,86,2,North Carolina,"65"""
2018,Round of 32,West,9,Florida State,75,1,"Xavier, Ohio","70"""
2018,Sweet Sixteen,South,9,Kansas State,61,5,Kentucky,"58"""
2018,Sweet Sixteen,South,11,"Loyola, Illinois",69,7,Nevada,"68"""
2018,Sweet Sixteen,West,3,Michigan,99,7,Texas A&M,"72"""
2018,Sweet Sixteen,West,9,Florida State,75,4,Gonzaga,"60"""
2018,Sweet Sixteen,East,1,Villanova,90,5,West Virginia,"78"""
2018,Sweet Sixteen,East,3,Texas Tech,78,2,Purdue,"65"""
2018,Sweet Sixteen,Midwest,1,Kansas,80,5,Clemson,"76"""
2018,Sweet Sixteen,Midwest,2,Duke,69,11,Syracuse,"65"""
2018,Elite Eight,South,11,"Loyola, Illinois",78,9,Kansas State,"62"""
2018,Elite Eight,West,3,Michigan,58,9,Florida State,"54"""
2018,Elite Eight,East,1,Villanova,71,3,Texas Tech,"59"""
2018,Elite Eight,Midwest,1,Kansas,85,2,Duke,"81 1 OT"""
2018,National Semifinals,,1,Villanova,95,1,Kansas,"79"""
2018,National Semifinals,,3,Michigan,69,11,"Loyola, Illinois","57"""
2018,National Championship,,1,Villanova,79,3,Michigan,"62"""
