round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Round of 64,East,1,Georgetown,68,16,Lehigh,43,25,1985
Round of 64,East,4,"Loyola, Illinois",59,13,Iona,58,1,1985
Round of 64,East,5,Southern Methodist,85,12,Old Dominion,68,17,1985
Round of 64,East,8,Temple,60,9,Virginia Tech,57,3,1985
Round of 64,Midwest,1,Oklahoma,96,16,North Carolina A&T,83,13,1985
Round of 64,Midwest,4,Ohio State,75,13,Iowa State,64,11,1985
Round of 64,Midwest,5,Louisiana Tech,78,12,Pittsburgh,54,24,1985
Round of 64,Midwest,9,Illinois State,58,8,Southern California,55,3,1985
Round of 64,Southeast,2,North Carolina,76,15,Middle Tennessee State,57,19,1985
Round of 64,Southeast,3,Kansas,49,14,Ohio,38,11,1985
Round of 64,Southeast,7,Notre Dame,79,10,Oregon State,70,9,1985
Round of 64,Southeast,11,Auburn,59,6,Purdue,58,1,1985
Round of 64,West,1,"St. John's, New York",83,16,Southern,59,24,1985
Round of 64,West,4,Nevada-Las Vegas,85,13,San Diego State,80,5,1985
Round of 64,West,9,Arkansas,63,8,Iowa,54,9,1985
Round of 64,West,12,Kentucky,66,5,Washington,58,8,1985
Round of 64,East,2,Georgia Tech,65,15,Mercer,58,7,1985
Round of 64,East,3,Illinois,76,14,Northeastern,57,19,1985
Round of 64,East,6,Georgia,67,11,Wichita State,59,8,1985
Round of 64,East,7,Syracuse,70,10,DePaul,65,5,1985
Round of 64,Midwest,2,Memphis,67,15,Pennsylvania,55,12,1985
Round of 64,Midwest,3,Duke,75,14,Pepperdine,62,13,1985
Round of 64,Midwest,7,UAB,70,10,Michigan State,68,2,1985
Round of 64,Midwest,11,Boston College,55,6,Texas Tech,53,2,1985
Round of 64,Southeast,1,Michigan,59,16,Fairleigh Dickinson,55,4,1985
Round of 64,Southeast,5,Maryland,69,12,"Miami, Ohio",68,1,1985
Round of 64,Southeast,8,Villanova,51,9,Dayton,49,2,1985
Round of 64,Southeast,13,Navy,78,4,Louisiana State,55,23,1985
Round of 64,West,2,Virginia Commonwealth,81,15,Marshall,65,16,1985
Round of 64,West,3,North Carolina State,65,14,Nevada,56,9,1985
Round of 64,West,7,Alabama,50,10,Arizona,41,9,1985
Round of 64,West,11,Texas-El Paso,79,6,Tulsa,75,4,1985
Round of 32,East,1,Georgetown,63,8,Temple,46,17,1985
Round of 32,East,4,"Loyola, Illinois",70,5,Southern Methodist,57,13,1985
Round of 32,Midwest,1,Oklahoma,75,9,Illinois State,69,6,1985
Round of 32,Midwest,5,Louisiana Tech,79,4,Ohio State,67,12,1985
Round of 32,Southeast,2,North Carolina,60,7,Notre Dame,58,2,1985
Round of 32,Southeast,11,Auburn,66,3,Kansas,64,2,1985
Round of 32,West,1,"St. John's, New York",68,9,Arkansas,65,3,1985
Round of 32,West,12,Kentucky,64,4,Nevada-Las Vegas,61,3,1985
Round of 32,East,2,Georgia Tech,70,7,Syracuse,53,17,1985
Round of 32,East,3,Illinois,74,6,Georgia,58,16,1985
Round of 32,Midwest,2,Memphis,67,7,UAB,66,1,1985
